https,urlLength,hostLength,pathLength,subdomains,usesIPAddress,digitCount,hyphenCount,underscoreCount,dotCount,keywordMatches,suspiciousTLD,label
1,20,10,1,0,0,0,0,0,1,0,0,0
1,37,28,1,1,0,0,4,0,2,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,33,24,1,0,0,0,2,0,1,0,0,1
1,22,6,8,0,0,2,0,0,1,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,44,35,1,1,0,0,0,0,2,0,0,1
1,42,27,7,1,0,0,0,0,2,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,26,7,11,0,0,0,0,0,1,0,0,1
1,28,18,1,0,0,0,1,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,3,1,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,175,15,108,1,0,18,3,4,2,0,0,1
1,131,15,108,1,0,14,3,1,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,32,23,1,1,0,0,0,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,24,14,1,1,0,0,0,0,2,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,126,7,1,0,0,31,1,0,1,0,0,1
0,39,31,1,1,0,9,1,0,2,0,1,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,36,27,1,1,0,0,0,0,2,0,0,1
1,71,18,45,1,0,25,4,0,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,17,7,1,0,0,0,0,0,1,0,0,0
0,38,26,5,1,0,0,0,0,2,0,0,1
1,31,21,1,0,0,0,0,0,1,0,0,0
1,22,12,1,1,0,0,0,0,2,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,2,3,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,25,16,1,1,0,0,0,0,2,0,0,1
1,31,22,1,1,0,0,0,0,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,29,19,1,1,0,0,0,0,2,0,0,0
1,83,74,1,2,0,12,0,0,3,0,0,1
1,26,17,1,1,0,3,0,0,2,0,0,1
1,67,38,21,1,0,1,0,0,2,1,0,1
1,47,18,21,0,0,1,0,0,1,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,16,6,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,28,15,5,1,0,0,0,0,2,1,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,142,15,70,1,0,22,4,0,2,0,0,1
1,62,43,11,1,0,19,1,0,2,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,1,0,0,2,0,0,1
1,59,21,30,1,0,4,1,0,2,0,0,1
1,29,20,1,1,0,0,0,0,2,0,0,1
1,23,13,1,0,0,0,1,0,1,0,0,0
1,83,74,1,2,0,7,0,0,3,0,0,1
1,46,26,12,1,0,8,0,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,23,13,1,1,0,0,0,0,2,0,0,0
1,37,24,1,1,0,5,0,0,2,0,0,1
1,27,17,1,0,0,0,1,0,1,0,0,0
1,28,18,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,45,31,6,1,0,0,3,0,2,0,0,1
1,43,34,1,1,0,7,1,0,2,0,0,1
1,37,28,1,1,0,0,0,0,2,0,0,1
1,36,27,1,1,0,0,0,0,2,0,0,1
1,21,12,1,1,0,0,0,0,2,0,0,1
1,21,11,1,0,0,0,1,0,1,0,0,0
1,23,13,1,0,0,2,1,0,1,0,0,0
1,29,19,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,1,0,1,0,0,0
1,27,17,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,2,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,45,36,1,1,0,10,2,0,2,0,0,1
1,26,16,1,0,0,0,2,0,1,0,0,0
1,59,21,30,1,0,8,1,2,2,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,20,6,6,0,0,0,0,0,1,0,0,1
1,21,11,1,1,0,0,0,0,2,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,22,6,8,0,0,1,0,0,1,0,0,1
1,24,14,1,1,0,0,0,0,2,0,0,0
1,190,15,108,1,0,25,3,3,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,1,0,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,29,19,1,0,0,0,2,0,1,0,0,0
1,19,9,1,0,0,0,0,0,1,0,0,0
1,28,19,1,1,0,0,0,0,2,0,0,1
1,51,21,22,2,0,2,0,0,3,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,0,0,0,1,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,438,15,11,1,0,100,8,11,2,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,39,30,1,1,0,3,1,0,2,1,0,1
1,21,11,1,1,0,0,0,0,2,0,0,0
1,58,16,1,1,0,5,0,0,2,1,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,84,15,61,1,0,10,0,0,2,0,0,1
1,28,18,1,0,0,0,0,0,1,0,0,0
1,22,6,8,0,0,2,0,0,1,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,83,74,1,2,0,5,0,0,3,0,0,1
1,33,10,15,0,0,0,0,0,1,0,0,1
1,22,6,8,0,0,3,0,0,1,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,38,18,12,1,0,6,0,0,2,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,1,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,21,12,1,1,0,0,0,0,2,0,0,1
1,175,15,108,1,0,25,3,1,2,0,0,1
1,22,6,8,0,0,2,0,0,1,0,0,1
1,23,8,7,0,0,0,0,0,1,0,0,1
1,24,15,1,1,0,0,0,0,2,0,0,1
1,24,14,1,0,0,3,0,0,1,0,0,0
1,30,20,1,1,0,0,0,0,2,0,0,0
1,29,17,4,1,0,0,0,0,2,0,1,1
1,31,22,1,1,0,2,0,0,2,0,0,1
1,29,20,1,1,0,1,1,0,2,0,0,1
1,175,15,108,1,0,15,2,2,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,190,15,108,1,0,20,3,1,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,19,9,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,0,0,0,2,0,0,1
0,20,13,0,0,0,0,1,0,1,0,0,1
1,40,20,12,1,0,0,0,0,2,0,0,1
1,30,20,1,0,0,0,0,0,1,0,0,0
1,35,16,11,1,0,2,0,0,2,0,0,1
1,39,18,13,0,0,1,0,0,1,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,83,74,1,2,0,10,0,0,3,0,0,1
1,139,17,1,0,0,41,0,3,1,1,1,1
1,23,13,1,0,0,0,1,0,1,0,0,0
1,34,16,10,0,0,0,0,0,1,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
1,30,20,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,1,1,0,1,0,0,0
1,35,26,1,1,0,0,1,0,2,0,0,1
1,38,24,6,1,0,0,2,0,2,0,0,1
1,76,25,1,1,0,24,1,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,30,18,4,1,0,0,0,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,44,24,12,1,0,6,1,0,2,0,0,1
1,51,16,27,1,0,0,0,0,2,0,0,1
0,27,20,0,1,0,0,0,0,2,0,0,1
1,23,13,1,1,0,0,0,0,2,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,167,15,108,1,0,17,2,3,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,0,1,0,1,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,175,15,108,1,0,18,4,0,2,0,0,1
1,37,28,1,1,0,1,0,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,19,9,1,1,0,0,0,0,2,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
0,38,26,5,1,0,0,1,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,18,8,1,1,0,0,0,0,2,0,0,0
1,48,39,1,1,0,6,1,0,2,0,0,1
1,22,7,7,0,0,1,0,0,1,0,0,1
1,17,7,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,0,1,0,1,0,0,1
1,35,26,1,1,0,0,0,0,2,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,37,28,1,1,0,0,0,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,175,15,108,1,0,16,2,0,2,0,0,1
1,32,22,1,0,0,0,0,0,1,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,49,10,31,0,0,2,0,0,1,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,37,28,1,1,0,1,2,0,2,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,85,14,63,0,0,0,3,0,1,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,42,24,10,1,0,1,2,0,2,0,0,1
1,20,10,1,0,0,1,0,0,1,0,0,0
1,52,21,23,2,0,0,0,0,3,1,0,1
1,22,7,7,0,0,2,0,0,1,0,0,1
1,48,31,9,1,0,0,1,0,2,0,0,1
1,24,6,10,0,0,0,1,0,1,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,33,24,1,1,0,0,0,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,27,12,7,0,0,1,0,0,1,0,0,1
1,23,8,7,1,0,0,0,0,2,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,50,25,17,1,0,0,2,0,2,0,0,1
1,29,11,10,0,0,0,0,0,1,0,0,1
1,46,37,1,1,0,14,1,0,2,0,0,1
1,38,29,1,1,0,0,3,0,2,0,0,1
1,30,21,1,1,0,0,0,0,2,0,0,1
1,25,15,1,0,0,0,1,0,1,0,0,0
1,28,18,1,0,0,0,0,0,1,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,26,16,1,0,0,1,0,0,1,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,84,15,61,1,0,8,0,0,2,0,0,1
1,31,21,1,1,0,0,1,0,2,0,0,0
1,1100,21,38,0,0,142,15,20,1,0,0,1
1,178,15,108,1,0,15,2,1,2,0,0,1
1,45,36,1,1,0,0,2,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,43,35,0,1,0,6,1,0,2,0,0,1
1,134,15,64,1,0,13,2,0,2,0,0,1
1,21,11,1,0,0,1,0,0,1,0,0,0
1,70,43,19,1,0,33,1,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,84,15,61,1,0,7,0,1,2,0,0,1
1,82,25,1,1,0,22,1,0,2,0,0,1
1,46,32,6,1,0,0,2,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,32,23,1,1,0,0,0,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,266,12,5,1,0,58,4,0,2,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
1,43,29,6,1,0,0,2,0,2,0,0,1
1,41,20,13,2,0,0,0,0,3,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,29,9,12,0,0,0,0,0,1,0,0,1
1,41,17,16,0,0,2,0,0,1,1,0,1
1,30,20,1,0,0,0,0,0,1,1,0,0
1,40,26,6,1,0,0,3,0,2,0,0,1
1,33,24,1,1,0,0,0,0,2,1,0,1
1,48,39,1,1,0,14,3,0,2,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
0,62,43,12,1,0,19,1,0,2,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,23,14,1,0,0,0,0,0,1,0,0,1
1,67,16,43,1,0,4,2,0,2,0,0,1
0,34,22,5,1,0,0,1,0,2,0,0,1
1,21,11,1,1,0,0,0,0,2,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,44,17,19,0,0,0,0,0,1,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,28,18,1,0,0,0,0,0,1,0,0,0
1,79,13,58,0,0,35,0,0,1,0,0,1
1,44,27,9,1,0,0,2,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,0,0,0,2,0,0,1
1,41,26,7,1,0,0,1,0,2,0,0,1
1,50,13,0,1,0,2,0,0,2,0,0,1
1,17,7,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,175,15,108,1,0,18,1,0,2,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
1,30,20,1,0,0,0,0,0,1,0,0,0
1,28,18,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,39,25,6,1,0,1,2,0,2,0,0,1
1,23,8,7,1,0,0,0,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,16,6,1,0,0,0,0,0,1,0,0,0
1,76,25,1,1,0,22,1,0,2,0,0,1
1,17,7,1,0,0,0,0,0,1,0,0,0
1,35,25,1,0,0,0,0,0,1,0,0,0
1,39,31,0,1,0,3,0,0,2,0,0,1
1,175,15,108,1,0,20,1,3,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,29,19,1,0,0,0,0,0,1,0,0,0
1,83,74,1,2,0,5,0,0,3,0,0,1
1,39,22,9,1,0,0,2,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,0,0,1,0,0,0
1,23,14,1,1,0,0,0,0,2,0,0,1
1,19,11,0,0,0,0,0,0,1,0,0,1
1,175,15,108,1,0,13,2,0,2,0,0,1
1,38,29,1,1,0,0,0,0,2,0,0,1
1,21,6,7,0,0,1,1,0,1,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,30,21,1,1,0,0,0,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,30,20,1,0,0,0,0,0,1,0,0,0
1,46,14,24,0,0,6,0,0,1,0,0,1
1,27,18,1,1,0,0,0,0,2,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,65,19,21,0,0,0,1,0,1,0,0,1
1,84,15,61,1,0,6,0,0,2,0,0,1
1,47,38,1,1,0,0,0,0,2,0,0,1
1,54,17,29,1,0,4,0,1,2,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,59,21,30,1,0,7,2,1,2,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
1,22,7,7,0,0,2,0,0,1,0,0,1
1,35,25,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,2,1,0,1,0,0,1
1,33,24,1,1,0,4,0,0,2,0,0,1
1,21,6,7,0,0,1,1,0,1,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
0,32,20,5,1,0,0,1,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,75,24,1,1,0,20,1,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,19,9,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,6,0,0,1,0,1,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,175,15,108,1,0,26,1,0,2,0,0,1
1,51,42,1,1,0,7,4,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,53,44,1,1,0,8,0,0,2,1,0,1
1,51,21,22,2,0,3,0,0,3,0,0,1
1,175,15,108,1,0,17,1,3,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,118,15,58,1,0,9,2,0,2,0,0,1
1,62,43,11,1,0,22,1,0,2,0,0,1
1,167,15,108,1,0,17,2,2,2,0,0,1
1,42,33,1,1,0,5,0,0,2,0,0,1
0,34,22,5,1,0,0,1,0,2,0,0,1
1,26,16,1,0,0,2,2,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
0,20,6,7,0,0,0,1,0,1,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
1,143,18,1,0,0,47,1,3,1,1,0,1
1,34,25,1,1,0,0,0,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,31,22,1,1,0,1,0,0,2,0,0,1
1,29,19,1,0,0,0,0,0,1,0,0,0
1,63,43,12,1,0,33,1,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,33,24,1,1,0,0,0,0,2,0,0,1
1,16,6,1,0,0,0,0,0,1,0,0,0
1,24,14,1,0,0,0,1,0,1,0,0,0
1,83,74,1,2,0,7,0,0,3,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,52,21,23,2,0,0,0,0,3,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,76,14,49,1,0,0,0,5,2,0,0,1
1,62,43,11,1,0,23,1,0,2,0,0,1
1,65,16,41,1,0,0,0,0,2,2,0,1
1,175,15,108,1,0,21,4,1,2,0,0,1
1,22,12,1,0,0,0,1,0,1,0,0,0
1,30,20,1,0,0,1,1,0,1,0,0,0
1,30,21,1,1,0,2,1,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,0,0,0,2,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,43,34,1,1,0,6,1,0,2,0,0,1
1,29,20,1,1,0,0,1,0,2,0,0,1
1,175,15,108,1,0,16,2,0,2,0,0,1
1,16,6,1,0,0,1,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,54,21,25,1,0,1,0,0,2,0,0,1
1,37,28,1,1,0,0,0,0,2,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
1,24,14,1,0,0,0,0,0,1,0,0,0
1,83,74,1,2,0,10,0,0,3,0,0,1
1,29,19,1,0,0,0,0,0,1,0,0,0
1,20,10,1,0,0,0,1,0,1,0,0,0
1,40,31,1,1,0,1,0,0,2,0,0,1
1,37,16,13,1,0,0,0,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,26,16,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,89,25,1,1,0,25,1,0,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,30,21,1,1,0,2,0,0,2,0,0,1
1,38,18,12,1,0,6,0,0,2,0,0,1
0,50,43,0,1,0,9,1,0,2,0,0,1
1,75,24,1,1,0,18,1,0,2,0,0,1
1,62,53,1,1,0,0,0,0,2,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,25,15,1,0,0,0,0,0,1,0,0,0
1,76,25,1,1,0,21,1,0,2,0,0,1
1,66,34,24,3,0,3,0,0,4,0,0,1
1,16,6,1,0,0,0,0,0,1,0,0,0
1,25,16,1,1,0,0,0,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,23,13,1,1,0,0,0,0,2,0,0,0
1,42,11,23,0,0,5,0,0,1,0,1,1
1,48,16,24,1,0,0,0,0,2,1,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,75,24,1,1,0,18,1,0,2,0,0,1
1,92,31,53,1,0,1,8,0,2,0,0,1
1,175,15,108,1,0,21,3,0,2,0,0,1
1,76,25,1,1,0,23,1,0,2,0,0,1
1,37,11,18,0,0,0,0,1,1,0,0,1
1,175,15,108,1,0,17,2,1,2,0,0,1
1,32,23,1,1,0,4,2,0,2,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
1,167,15,108,1,0,18,1,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,0,0,0,1,0,0,0
1,84,15,61,1,0,9,1,0,2,0,0,1
1,31,21,1,0,0,0,0,0,1,0,0,0
1,29,19,1,0,0,0,0,0,1,0,0,0
1,19,9,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,18,8,1,0,0,0,0,0,1,0,0,0
0,44,37,0,1,0,9,2,0,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
0,40,33,0,1,0,11,1,0,2,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
0,47,39,1,1,0,5,5,0,2,0,0,1
1,32,9,15,0,0,0,0,0,1,0,0,1
1,59,43,8,1,0,24,1,0,2,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,23,13,1,0,0,0,0,0,1,0,0,0
1,64,14,42,1,0,20,4,0,2,0,0,1
1,31,22,1,1,0,0,0,0,2,0,0,1
1,26,16,1,0,0,0,0,0,1,0,0,0
1,31,22,1,1,0,4,1,0,2,0,0,1
1,26,16,1,1,0,0,0,0,2,0,0,0
1,18,8,1,0,0,0,0,0,1,0,0,0
1,138,32,34,1,0,10,2,1,2,1,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,76,25,1,1,0,20,1,0,2,0,0,1
1,239,26,13,1,0,26,0,0,2,0,0,1
1,21,6,7,0,0,0,1,0,1,0,0,1
1,29,20,1,1,0,0,0,0,2,0,0,1
1,21,6,7,0,0,0,1,0,1,0,0,1
1,175,15,108,1,0,22,1,1,2,0,0,1
1,200,15,108,1,0,13,1,1,2,0,0,1
1,42,16,18,1,0,2,0,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,25,14,3,0,0,0,0,0,1,0,0,1
1,143,15,108,1,0,14,1,1,2,0,0,1
1,35,26,1,1,0,1,1,0,2,0,0,1
1,23,13,1,1,0,0,0,0,2,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,23,13,1,1,0,0,0,0,2,0,0,0
1,36,27,1,1,0,1,0,0,2,0,0,1
1,22,6,8,0,0,2,0,0,1,0,0,1
1,25,15,1,0,0,0,1,0,1,0,0,0
1,22,12,1,0,0,0,0,0,1,0,0,0
1,46,37,1,1,0,0,0,0,2,0,0,1
